video_url,title,user_url,username,view_num,view_num_raw,created_at,created_at_raw,shortdesc,collected_at
https://www.youtube.com/watch?v=rJmZjwgJrvs&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,"Globe: Record number of Americans leaving country, seeking to renounce citizenship",https://www.youtube.com/@cbsboston,CBS Boston,69000,69K views,2026-05-14 05:30:59.475887+00:00,1 day ago,"According to the Pew Research Center, an estimated 180000 U.S. citizens emigrated in 2025. That is the largest outgoing...",2026-05-15 05:30:59.475887+00:00
https://www.youtube.com/shorts/AI23ccPpssA,Key Info about Brazilian Immigrants in the US,https://www.youtube.com/@MigrationPolicy,Migration Policy Institute,237,237 views,2026-05-14 16:30:59.478927+00:00,13 hours ago,The United States is home to the largest Brazilian community outside Brazil ??larger than the next four destination countries...,2026-05-15 05:30:59.478927+00:00
https://www.youtube.com/watch?v=ZMlTmOip3ig&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,The hidden life of an undocumented US immigrant,https://www.youtube.com/@AFP,AFP News Agency,507000,507K views,2015-05-18 05:30:59.480283+00:00,11 years ago,"Like millions of illegal immigrants in the US , Sylvia has spent decades building a life here - until her undocumented status was...",2026-05-15 05:30:59.480283+00:00
https://www.youtube.com/shorts/PnvWi5n4LaA,Controversial US Bill Sparks Political Firestorm | Immigrants Face Loyalty Test,https://www.youtube.com/@WION,WION,798,798 views,2026-05-14 21:30:59.481262+00:00,8 hours ago,"A new controversial bill in the United States is triggering intense political debate, with critics calling it a ?úloyalty test??for immigrants .",2026-05-15 05:30:59.481262+00:00
https://www.youtube.com/watch?v=m9zf8hkCqIg&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,U.S. Immigration | Let's Talk | NPR,https://www.youtube.com/@NPR,NPR,162000,162K views,2019-05-17 05:30:59.482671+00:00,7 years ago,"For over 200 years the U.S. Immigration policies have determined who the U.S. lets in, and who is shut out. NPR's Tom Gjelten...",2026-05-15 05:30:59.482671+00:00
https://www.youtube.com/watch?v=lBJcqxI7kas&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,The Immigration History of the United States,https://www.youtube.com/@TheDailyConversation,TDC,1000000,1M views,2015-05-18 05:30:59.484482+00:00,11 years ago,"This mini-documentary tells the story of settlement in the United States of America , from its first inhabitants to the Latin American ...",2026-05-15 05:30:59.484482+00:00
https://www.youtube.com/watch?v=ZBSZwde070c&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,U.S. Immigration Since 1965 | History,https://www.youtube.com/@HISTORY,HISTORY,110000,110K views,2018-05-17 05:31:05.723297+00:00,8 years ago,What does an American look like? Evolving immigration policies in 1965 would lead to ever-changing answers. #HISTORY...,2026-05-15 05:31:05.723297+00:00
https://www.youtube.com/watch?v=iKHl__BEsD0&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,The law that broke US immigration,https://www.youtube.com/@Vox,Vox,2300000,2.3M views,2022-05-16 05:31:05.726782+00:00,4 years ago,Why the US has so many undocumented immigrants . Subscribe to our channel! http://goo.gl/0bsAjO Immigration looked very...,2026-05-15 05:31:05.726782+00:00
https://www.youtube.com/shorts/5H8jc9vKWnE,All the good immigration news that never makes headlines  #immigrationattorney #usimmigration,https://www.youtube.com/@Attorney.Martinez,Attorney Martinez,2300,2.3K views,2026-05-14 15:31:05.727620+00:00,14 hours ago,"SUBSCRIBE to my channel for news and updates by your virtual IMMIGRATION ATTORNEY! #USImmigration, #KathleenMartinez...",2026-05-15 05:31:05.727620+00:00
https://www.youtube.com/shorts/xZFWee0WS_g,His Own Immigration Argument Just Backfired ??,https://www.youtube.com/@turningpointusa,Turning Point USA,132000,132K views,2026-05-14 05:31:05.730561+00:00,1 day ago,willwitt #2026 # america #politics #debate #trending # immigration .,2026-05-15 05:31:05.730561+00:00
